transf_loc,sku,primary_voltage,size_kva,transformer_age,customers,percent_lol,consecutive_months_overloaded,loss_of_life,max_overload,life_expectancy_at_conditions,date_max_overload,IEEE C57.91 Temp/Loading Flags
TE 2159,90605,27.6kV,75,44,9,2.40299E-05,0,0.000840795,30,35,2021-08-29 0:00,
TE 1100,90600,27.6kV,50,27,9,2.40256E-05,0,0.000840644,27,35,2021-06-28 0:00,
TE 7260,90601,27.6kV,50,17,10,2.40253E-05,0,0.000840635,23,35,2021-08-29 0:00,
T 11534,91440,27.6kV,75,7,37,2.40244E-05,0,0.000840601,55.5,35,2021-08-29 0:00,
TE 8555,90601,27.6kV,50,7,9,2.40196E-05,0,0.000840432,27,35,2021-07-25 0:00,
TE 4796,90605,27.6kV,75,33,15,2.40121E-05,0,0.000840173,30.75,35,2021-06-06 0:00,
T 9172,91355,27.6kV,37,37,6,2.40101E-05,0,0.0008401,28.12,35,2021-07-05 0:00,
TE 6373,90601,27.6kV,50,22,10,2.40072E-05,0,0.000839999,25,35,2021-08-29 0:00,
TE 5237,90600,27.6kV,50,24,12,2.40008E-05,0,0.000839777,26.5,35,2021-06-27 0:00,
TE 2211,90601,27.6kV,50,9,9,2.39887E-05,0,0.000839353,27.5,35,2021-06-10 0:00,
TE 9017,90601,27.6kV,50,4,13,2.39879E-05,0,0.000839326,27.5,35,2021-08-28 0:00,
TE 4982,90605,27.6kV,75,32,11,2.39876E-05,0,0.000839314,29.25,35,2021-08-21 0:00,
TE 1671,90604,27.6kV,75,12,15,2.39852E-05,0,0.000839229,44.2725,35,2022-01-10 0:00,
TE 6413,90601,27.6kV,50,22,9,2.39832E-05,0,0.000839161,26.5,35,2021-06-28 0:00,
TE 4395,90600,27.6kV,50,34,12,2.39828E-05,0,0.000839147,27,35,2021-07-05 0:00,
TE 8881,90601,27.6kV,50,5,13,2.39822E-05,0,0.000839126,26,35,2021-06-05 0:00,
TE 3854,90600,27.6kV,50,36,11,2.3976E-05,0,0.000838908,30,35,2021-06-06 0:00,
TE 6402,90601,27.6kV,50,22,10,2.39668E-05,0,0.000838586,25.5,35,2021-08-09 0:00,
T 10939,91355,27.6kV,111,14,9,2.39652E-05,0,0.000838532,57.72,35,2021-05-21 0:00,
TE 3034,90605,27.6kV,75,44,14,2.3957E-05,0,0.000838242,33,35,2021-08-29 0:00,
TE 8758,90601,27.6kV,50,6,11,2.39556E-05,0,0.000838193,24,35,2021-07-26 0:00,
TE 6166,90601,27.6kV,50,6,5,2.39553E-05,0,0.000838184,15.73,35,2022-02-15 0:00,
TE 6245,90725,27.6kV,500,24,1,2.39542E-05,0,0.000838144,385,35,2021-09-14 0:00,
TE 5544,90601,27.6kV,50,4,10,2.39529E-05,0,0.000838099,25,35,2021-07-25 0:00,
T 10628,91345,27.6kV,30,19,1,2.39501E-05,0,0.000838001,24.6,35,2021-07-26 0:00,
TE 1673,90604,27.6kV,75,11,11,2.39474E-05,0,0.000837907,47.73,35,2022-01-22 0:00,
T 10579,91365,27.6kV,75,8,21,2.39471E-05,0,0.000837896,61.5,35,2021-07-06 0:00,
T 4346,91075,4.16kV,111,20,4,2.39457E-05,0,0.000837847,71.04,35,2021-06-29 0:00,
TE 4468,90601,27.6kV,50,19,7,2.39287E-05,0,0.000837254,26,35,2021-06-29 0:00,
TE 5515,90725,27.6kV,500,44,1,2.3924E-05,0,0.00083709,245,35,2021-07-05 0:00,
TE 2345,90605,27.6kV,75,47,9,2.39128E-05,0,0.000836697,31.5,35,2021-05-22 0:00,
TE 6399,90601,27.6kV,50,6,12,2.39082E-05,0,0.000836537,29.5,35,2021-08-24 0:00,
T 1136,91070,4.16kV,25,1,5,2.39068E-05,0,0.000836489,20,35,2021-06-09 0:00,
T 166,91070,4.16kV,25,21,6,2.389E-05,0,0.0008359,22.75,35,2021-06-30 0:00,
T 9787,91360,27.6kV,50,25,16,2.38873E-05,0,0.000835803,40,35,2021-08-29 0:00,
TE 2573,90601,27.6kV,50,5,8,2.38852E-05,0,0.000835732,42.59,35,2022-01-16 0:00,
TE 1831,90601,27.6kV,50,7,9,2.3871E-05,0,0.000835234,29.79,35,2022-01-24 0:00,
TE 3179,90600,27.6kV,50,43,11,2.38691E-05,0,0.000835168,31.5,35,2021-08-29 0:00,
TE 5109,90600,27.6kV,50,32,12,2.38616E-05,0,0.000834904,25,35,2021-08-29 0:00,
TE 1260,90601,27.6kV,50,18,1,2.38596E-05,0,0.000834836,22.5,35,2021-06-06 0:00,
T 10214,91425,27.6kV,501,12,1,2.38518E-05,0,0.000834563,382.8642,35,2022-01-06 0:00,
TE 128,90082,4.16kV,50,11,7,2.38404E-05,0,0.000834165,27,35,2021-08-29 0:00,
TE 1098,90600,27.6kV,50,27,7,2.38165E-05,0,0.000833328,25.67,35,2022-01-29 0:00,
TE 8350,90601,27.6kV,50,10,10,2.38143E-05,0,0.000833252,24.5,35,2021-07-25 0:00,
T 2045,91080,4.16kV,50,48,17,2.381E-05,0,0.0008331,37.5,35,2021-06-28 0:00,
T 9814,91365,27.6kV,75,11,26,2.38092E-05,0,0.000833072,61.5,35,2021-07-05 0:00,
TE 5471,90605,27.6kV,75,34,14,2.37975E-05,0,0.000832663,32.25,35,2021-06-05 0:00,
TE 4793,90605,27.6kV,75,33,14,2.37972E-05,0,0.000832653,31.5,35,2021-06-05 0:00,
TE 6213,90601,27.6kV,50,24,12,2.37962E-05,0,0.000832616,23.5,35,2021-05-23 0:00,
TE 6414,90601,27.6kV,50,22,12,2.37738E-05,0,0.000831832,25,35,2021-07-05 0:00,
TE 5735,90605,27.6kV,75,46,20,2.37698E-05,0,0.000831692,40.5,35,2021-09-14 0:00,
TE 3423,90600,27.6kV,50,28,10,2.37692E-05,0,0.000831672,28.5,35,2021-06-06 0:00,
T 5262,91075,4.16kV,37,8,11,2.37685E-05,0,0.000831649,29.6,35,2021-07-25 0:00,
T 9617,91360,27.6kV,50,31,16,2.37661E-05,0,0.000831565,42,35,2021-08-28 0:00,
T 1710,91075,4.16kV,37,59,13,2.37657E-05,0,0.000831551,29.6,35,2021-07-05 0:00,
TE 5252,90600,27.6kV,50,30,14,2.37641E-05,0,0.000831495,24.5,35,2021-08-21 0:00,
TE 9105,90601,27.6kV,50,5,10,2.37621E-05,0,0.000831425,25,35,2021-07-25 0:00,
TE 5028,90600,27.6kV,50,32,12,2.37612E-05,0,0.000831394,26.5,35,2021-08-29 0:00,
T 10204,91345,27.6kV,10,24,2,2.37517E-05,0,0.00083106,8.66,35,2022-03-02 0:00,
TE 2693,90605,27.6kV,75,45,10,2.375E-05,0,0.000831001,30,35,2021-08-22 0:00,
TE 7335,90462,27.6kV,150,7,1,2.37408E-05,0,0.000830678,18.96,35,2021-10-25 0:00,
TE 2111,90601,27.6kV,50,6,11,2.37259E-05,0,0.000830159,26,35,2021-06-28 0:00,
TE 5079,90600,27.6kV,50,30,14,2.37241E-05,0,0.000830095,24,35,2021-07-27 0:00,
TE 143,90601,27.6kV,50,10,9,2.37163E-05,0,0.000829822,27.5,35,2021-08-29 0:00,
TE 1956,90601,27.6kV,50,12,8,2.37082E-05,0,0.000829538,27,35,2021-07-05 0:00,
TE 2168,90601,27.6kV,50,13,10,2.37064E-05,0,0.000829474,26.5,35,2021-07-06 0:00,
TE 4039,90601,27.6kV,50,14,12,2.37058E-05,0,0.000829456,25.35,35,2022-01-09 0:00,
TE 5509,90605,27.6kV,75,28,15,2.36931E-05,0,0.000829011,29.25,35,2021-08-29 0:00,
T 9229,91365,27.6kV,75,32,17,2.36727E-05,0,0.000828297,60,35,2021-08-28 0:00,
T 8998,91360,27.6kV,50,30,14,2.36542E-05,0,0.00082765,48,35,2021-08-24 0:00,
TE 3214,90605,27.6kV,75,43,9,2.36529E-05,0,0.000827605,29.25,35,2021-06-07 0:00,
TE 1091,90448,27.6kV,75,30,1,2.36484E-05,0,0.000827446,57,35,2021-08-26 0:00,
TE 243,90601,27.6kV,50,9,8,2.36482E-05,0,0.00082744,25,35,2021-06-28 0:00,
TE 6082,90605,27.6kV,75,21,9,2.36211E-05,0,0.000826491,30.75,35,2021-07-05 0:00,
TE 2172,90600,27.6kV,50,33,10,2.36199E-05,0,0.000826448,26,35,2021-08-29 0:00,
TE 2636,90605,27.6kV,75,36,13,2.36149E-05,0,0.000826275,30.75,35,2021-07-06 0:00,
TE 4782,90605,27.6kV,75,32,15,2.36146E-05,0,0.000826264,30,35,2021-08-29 0:00,
TE 8955,90601,27.6kV,50,5,12,2.36102E-05,0,0.000826109,24.5,35,2021-06-27 0:00,
T 9799,91360,27.6kV,50,25,15,2.36076E-05,0,0.000826018,42,35,2021-08-23 0:00,
TE 4296,90605,27.6kV,75,35,14,2.36004E-05,0,0.000825765,32.25,35,2021-06-27 0:00,
TE 4356,90605,27.6kV,75,35,14,2.35931E-05,0,0.000825509,31.5,35,2021-08-29 0:00,
TE 331,90601,27.6kV,50,10,7,2.35912E-05,0,0.000825443,25.5,35,2021-08-28 0:00,
TE 7083,90601,27.6kV,50,19,5,2.35863E-05,0,0.000825274,23,35,2021-08-29 0:00,
TE 2300,90601,27.6kV,50,4,16,2.35858E-05,0,0.000825254,25.5,35,2021-06-06 0:00,
TE 4673,90600,27.6kV,50,34,5,2.35844E-05,0,0.000825207,24,35,2021-08-22 0:00,
T 9604,91350,27.6kV,25,28,10,2.35829E-05,0,0.000825154,23,35,2021-08-29 0:00,
TE 2506,90601,27.6kV,50,13,12,2.35824E-05,0,0.000825137,23.5,35,2021-06-20 0:00,
TE 3803,90601,27.6kV,50,7,7,2.35744E-05,0,0.000824855,26,35,2021-07-06 0:00,
TE 2522,90604,27.6kV,75,16,13,2.3569E-05,0,0.000824668,27.75,35,2021-08-22 0:00,
T 9512,91360,27.6kV,50,27,18,2.35662E-05,0,0.000824568,44.5,35,2021-07-25 0:00,
TE 1719,90601,27.6kV,50,10,11,2.35654E-05,0,0.000824543,30,35,2021-07-06 0:00,
TE 5351,90601,27.6kV,50,7,5,2.35648E-05,0,0.00082452,23,35,2021-06-11 0:00,
TE 5736,90601,27.6kV,50,26,11,2.35476E-05,0,0.000823917,26,35,2021-08-21 0:00,
TE 840,90601,27.6kV,50,22,8,2.35461E-05,0,0.000823867,29,35,2021-06-27 0:00,
TE 2433,90600,27.6kV,50,33,8,2.35444E-05,0,0.000823808,28,35,2021-07-06 0:00,
TE 6501,90601,27.6kV,50,21,14,2.35416E-05,0,0.000823711,26.5,35,2021-07-06 0:00,
T 9848,91355,27.6kV,37,42,8,2.3538E-05,0,0.000823582,29.23,35,2021-08-22 0:00,
TE 6965,90723,27.6kV,300,19,10,2.35364E-05,0,0.000823528,171,35,2021-06-29 0:00,
TE 5161,90601,27.6kV,50,6,16,2.35332E-05,0,0.000823416,24.5,35,2021-08-29 0:00,
T 11535,91440,27.6kV,75,7,40,2.35286E-05,0,0.000823253,64.38,35,2022-01-10 0:00,
TE 5871,90600,27.6kV,50,25,13,2.3526E-05,0,0.000823163,28,35,2021-07-25 0:00,
TE 430,90601,27.6kV,50,7,13,2.35125E-05,0,0.000822689,22.5,35,2021-07-06 0:00,
T 9174,91370,27.6kV,100,29,30,2.35107E-05,0,0.000822629,83,35,2021-06-28 0:00,
T 11524,91365,27.6kV,75,7,28,2.35068E-05,0,0.000822492,55.5,35,2021-07-06 0:00,
TE 6222,90462,27.6kV,150,4,1,2.35033E-05,0,0.000822368,9,35,2021-06-29 0:00,
T 2785,91080,4.16kV,150,18,1,2.35011E-05,0,0.000822293,117,35,2021-09-14 0:00,
T 4912,91075,4.16kV,37,59,6,2.34865E-05,0,0.00082178,25.53,35,2021-06-27 0:00,
TE 240,90601,27.6kV,50,9,7,2.34836E-05,0,0.000821679,24.5,35,2021-07-26 0:00,
TE 2097,90604,27.6kV,75,10,14,2.34798E-05,0,0.000821546,47.4975,35,2022-01-02 0:00,
TE 9163,90601,27.6kV,50,4,12,2.34716E-05,0,0.000821261,27.5,35,2021-08-29 0:00,
TE 2460,90601,27.6kV,50,14,12,2.34679E-05,0,0.00082113,23.5,35,2021-06-12 0:00,
TE 4514,90600,27.6kV,50,34,12,2.34608E-05,0,0.00082088,26,35,2021-07-05 0:00,
T 8344,91425,27.6kV,501,18,13,2.34503E-05,0,0.000820514,325.65,35,2021-08-11 0:00,
T 10206,91360,27.6kV,50,22,12,2.34485E-05,0,0.000820452,46,35,2021-08-29 0:00,
TE 3601,90082,4.16kV,50,39,2,2.34402E-05,0,0.000820161,22,35,2021-07-06 0:00,
TE 4210,90605,27.6kV,75,36,12,2.34357E-05,0,0.000820002,39,35,2021-08-05 0:00,
T 2063,91080,4.16kV,50,40,19,2.34353E-05,0,0.000819988,47,35,2021-08-29 0:00,
TE 179,90601,27.6kV,50,8,10,2.34169E-05,0,0.000819345,27,35,2021-08-24 0:00,
TE 9229,90601,27.6kV,50,4,13,2.34031E-05,0,0.000818865,30.11,35,2022-03-28 0:00,
TE 491,90601,27.6kV,50,22,11,2.33995E-05,0,0.000818737,27,35,2021-08-29 0:00,
TE 5085,90601,27.6kV,50,5,10,2.33982E-05,0,0.000818691,25,35,2021-07-05 0:00,
TE 142,90601,27.6kV,50,10,10,2.3397E-05,0,0.00081865,26.5,35,2021-08-28 0:00,
TE 2842,90601,27.6kV,50,19,11,2.33947E-05,0,0.00081857,24,35,2021-08-09 0:00,
TE 2978,90601,27.6kV,50,9,10,2.33917E-05,0,0.000818465,39.89,35,2022-01-22 0:00,
TE 5525,90600,27.6kV,50,28,9,2.33907E-05,0,0.00081843,25.5,35,2021-08-29 0:00,
TE 6256,90601,27.6kV,50,23,11,2.33849E-05,0,0.000818225,26.5,35,2021-07-18 0:00,
TE 3609,90605,27.6kV,75,42,10,2.33845E-05,0,0.000818213,51.84,35,2022-01-10 0:00,
TE 3853,90600,27.6kV,50,36,11,2.33803E-05,0,0.000818064,32.5,35,2021-08-29 0:00,
TE 2346,90601,27.6kV,50,15,9,2.33747E-05,0,0.000817871,26,35,2021-07-25 0:00,
TE 9106,90601,27.6kV,50,5,11,2.33643E-05,0,0.000817505,25.5,35,2021-07-14 0:00,
TE 152,90601,27.6kV,50,10,8,2.33633E-05,0,0.000817471,23.5,35,2021-08-26 0:00,
TE 5728,90600,27.6kV,50,26,13,2.33606E-05,0,0.000817374,25.5,35,2021-07-06 0:00,
TE 4454,90084,4.16kV,75,41,8,2.33546E-05,0,0.000817167,28.5,35,2021-07-25 0:00,
TE 2979,90604,27.6kV,75,9,12,2.335E-05,0,0.000817003,48.03,35,2022-01-10 0:00,
TE 8654,90601,27.6kV,50,7,8,2.33499E-05,0,0.000817001,28,35,2021-07-06 0:00,
TE 7735,90733,27.6kV,750,15,1,2.33493E-05,0,0.000816981,405,35,2021-09-21 0:00,
TE 8805,90601,27.6kV,50,6,8,2.33464E-05,0,0.000816878,25,35,2021-06-28 0:00,
TE 2962,90601,27.6kV,50,18,10,2.3346E-05,0,0.000816864,28.5,35,2021-08-29 0:00,
TE 2099,90601,27.6kV,50,10,12,2.33413E-05,0,0.0008167,36.62,35,2022-01-08 0:00,
T 9973,91355,27.6kV,37,23,20,2.33304E-05,0,0.00081632,29.341,35,2022-01-23 0:00,
TE 6898,90601,27.6kV,50,19,8,2.33233E-05,0,0.000816071,24.5,35,2021-08-28 0:00,
T 5790,91165,4.16kV,75,6,1,2.33022E-05,0,0.000815332,45.75,35,2021-07-07 0:00,
T 9449,91365,27.6kV,75,28,26,2.33015E-05,0,0.000815306,62.25,35,2021-08-24 0:00,
T 9681,91355,27.6kV,37,27,14,2.32958E-05,0,0.000815107,32.56,35,2021-06-28 0:00,
TE 5364,90462,27.6kV,150,32,1,2.32787E-05,0,0.000814512,18.405,35,2021-12-02 0:00,
TE 337,90601,27.6kV,50,10,7,2.32785E-05,0,0.000814505,27.5,35,2021-08-30 0:00,
TE 5111,90600,27.6kV,50,32,13,2.32729E-05,0,0.000814307,25.5,35,2021-08-10 0:00,
TE 6382,90601,27.6kV,50,22,8,2.32728E-05,0,0.000814302,24.5,35,2021-07-06 0:00,
T 9692,91355,27.6kV,37,27,11,2.32705E-05,0,0.000814222,31.45,35,2021-08-28 0:00,
TE 8863,90608,27.6kV,100,5,31,2.32659E-05,0,0.000814064,84,35,2021-08-23 0:00,
TE 1946,90600,27.6kV,50,25,7,2.32628E-05,0,0.000813952,26,35,2021-07-07 0:00,
T 919,91090,4.16kV,100,48,24,2.3262E-05,0,0.000813927,83,35,2021-08-29 0:00,
TE 4843,90600,27.6kV,50,33,13,2.32565E-05,0,0.000813732,28.5,35,2021-08-29 0:00,
TE 1513,90601,27.6kV,50,11,8,2.32487E-05,0,0.000813459,24,35,2021-07-05 0:00,
TE 8408,90601,27.6kV,50,9,10,2.32476E-05,0,0.000813424,23,35,2021-06-06 0:00,
T 8509,91410,27.6kV,150,9,2,2.32448E-05,0,0.000813323,159,35,2021-10-06 0:00,
TE 9052,90601,27.6kV,50,4,10,2.32422E-05,0,0.000813233,23,35,2021-06-26 0:00,
TE 1650,90601,27.6kV,50,9,8,2.32394E-05,0,0.000813135,23.5,35,2021-08-23 0:00,
TE 980,90083,27.6kV,50,2,9,2.32309E-05,0,0.000812838,24,35,2021-06-13 0:00,
TE 2527,90601,27.6kV,50,19,11,2.32271E-05,0,0.000812704,22,35,2021-08-29 0:00,
T 8982,91350,27.6kV,25,30,10,2.32253E-05,0,0.000812643,23.75,35,2021-07-13 0:00,
TE 1482,90601,27.6kV,50,20,11,2.32233E-05,0,0.000812573,26,35,2021-08-24 0:00,
T 5492,91075,4.16kV,37,53,15,2.32185E-05,0,0.000812405,29.97,35,2021-06-13 0:00,
T 11419,91370,27.6kV,100,8,44,2.32162E-05,0,0.000812323,80,35,2021-06-27 0:00,
TE 2379,90605,27.6kV,75,47,9,2.32154E-05,0,0.000812297,28.5,35,2021-08-29 0:00,
TE 5920,90600,27.6kV,50,24,13,2.32095E-05,0,0.000812088,27.5,35,2021-08-29 0:00,
TE 816,90601,27.6kV,50,18,12,2.32089E-05,0,0.000812069,21.67,35,2022-03-06 0:00,
TE 4065,90733,27.6kV,750,18,3,2.31958E-05,0,0.00081161,382.5,35,2021-08-09 0:00,
TE 3592,90605,27.6kV,75,42,8,2.31711E-05,0,0.000810746,44.1675,35,2022-01-30 0:00,
TE 4618,90600,27.6kV,50,33,11,2.3151E-05,0,0.000810041,21,35,2021-07-06 0:00,
TE 1094,90608,4.16kV,100,9,18,2.31481E-05,0,0.00080994,68,35,2021-08-29 0:00,
T 11225,91350,27.6kV,75,10,77,2.31462E-05,0,0.000809874,50.25,35,2021-08-26 0:00,
TE 1082,90601,27.6kV,50,53,7,2.31419E-05,0,0.000809722,25.5,35,2021-06-28 0:00,
TE 9230,90601,27.6kV,50,4,10,2.31396E-05,0,0.000809644,42.87,35,2022-03-28 0:00,
TE 2524,90601,27.6kV,50,15,10,2.31389E-05,0,0.000809619,31,35,2021-08-28 0:00,
TE 7557,90601,27.6kV,50,16,12,2.31383E-05,0,0.000809598,24.5,35,2021-06-08 0:00,
TE 9271,90601,27.6kV,50,3,11,2.31369E-05,0,0.000809548,35.87,35,2022-01-25 0:00,
TE 2781,90601,27.6kV,50,10,10,2.31257E-05,0,0.000809158,26,35,2021-08-29 0:00,
TE 5048,90605,27.6kV,75,32,13,2.31241E-05,0,0.0008091,25.5,35,2021-08-29 0:00,
TE 4647,90717,27.6kV,225,27,1,2.31181E-05,0,0.00080889,128.25,35,2021-06-29 0:00,
T 11961,91350,27.6kV,25,3,6,2.31092E-05,0,0.000808581,21.25,35,2021-06-29 0:00,
TE 5132,90600,27.6kV,50,32,12,2.31075E-05,0,0.000808519,26.5,35,2021-08-26 0:00,
TE 4385,90600,27.6kV,50,34,10,2.31042E-05,0,0.000808404,23.5,35,2021-07-05 0:00,
TE 9190,90601,27.6kV,50,3,12,2.30985E-05,0,0.000808206,35.68,35,2022-04-21 0:00,
TE 511,90601,27.6kV,50,8,12,2.30896E-05,0,0.000807893,31.5,35,2021-05-02 0:00,
TE 552,90601,27.6kV,50,22,8,2.30893E-05,0,0.000807885,21.5,35,2021-08-29 0:00,
TE 1943,90601,27.6kV,50,3,9,2.30881E-05,0,0.000807842,23.5,35,2021-07-05 0:00,
T 9577,91360,27.6kV,50,27,21,2.3087E-05,0,0.000807803,44,35,2021-08-29 0:00,
T 10234,91355,27.6kV,37,22,8,2.30767E-05,0,0.000807444,27.38,35,2021-08-29 0:00,
TE 1451,90604,27.6kV,75,21,12,2.30636E-05,0,0.000806985,50.61,35,2022-01-15 0:00,
T 10922,91365,27.6kV,75,17,24,2.30592E-05,0,0.000806831,54,35,2021-08-29 0:00,
TE 4517,90601,27.6kV,50,11,11,2.30578E-05,0,0.000806783,26,35,2021-06-27 0:00,
TE 7082,90601,27.6kV,50,11,8,2.30496E-05,0,0.000806495,26,35,2021-08-19 0:00,
TE 6089,90605,27.6kV,75,21,6,2.3046E-05,0,0.000806368,27.75,35,2021-08-07 0:00,
T 11952,91410,27.6kV,150,3,1,2.30435E-05,0,0.000806282,94.5,35,2021-06-04 0:00,
TE 473,90605,27.6kV,75,30,12,2.30415E-05,0,0.000806211,27.75,35,2021-06-07 0:00,
TE 3064,90600,27.6kV,50,44,10,2.30404E-05,0,0.000806172,23.5,35,2021-06-27 0:00,
T 11657,91360,27.6kV,50,6,16,2.3023E-05,0,0.000805564,42,35,2021-08-21 0:00,
TE 9412,90601,27.6kV,50,4,10,2.30085E-05,0,0.000805057,24,35,2021-06-06 0:00,
TE 141,90601,27.6kV,50,10,9,2.30048E-05,0,0.000804927,23.5,35,2021-08-23 0:00,
TE 5830,90600,27.6kV,50,25,11,2.30024E-05,0,0.000804843,29.5,35,2021-08-22 0:00,
T 167,91080,4.16kV,50,12,14,2.29972E-05,0,0.000804662,38.5,35,2021-07-05 0:00,
TE 2583,90605,27.6kV,75,46,10,2.29965E-05,0,0.000804636,29.25,35,2021-08-23 0:00,
TE 8064,90601,27.6kV,50,12,11,2.29699E-05,0,0.000803705,24.5,35,2021-06-28 0:00,
TE 8383,90601,27.6kV,50,9,13,2.29651E-05,0,0.000803537,28,35,2021-06-06 0:00,
TE 8346,90601,27.6kV,50,10,13,2.29606E-05,0,0.000803379,26,35,2021-08-29 0:00,
TE 476,90605,27.6kV,75,30,12,2.29557E-05,0,0.000803209,44.4375,35,2022-01-10 0:00,
TE 8435,90482,27.6kV,750,8,315,2.29552E-05,0,0.000803191,389.85,35,2021-10-24 0:00,
TE 5440,90601,27.6kV,50,20,15,2.29507E-05,0,0.000803032,26.5,35,2021-06-06 0:00,
T 2066,91080,4.16kV,50,47,15,2.29505E-05,0,0.000803026,42,35,2021-08-29 0:00,
TE 5750,90600,27.6kV,50,26,11,2.29492E-05,0,0.000802982,25,35,2021-08-26 0:00,
TE 8832,90299,27.6kV,150,6,2,2.29387E-05,0,0.000802614,57,35,2021-08-11 0:00,
TE 2943,90605,27.6kV,75,34,12,2.29345E-05,0,0.000802466,30,35,2021-08-29 0:00,
TE 4776,90601,27.6kV,50,15,8,2.29319E-05,0,0.000802377,27,35,2021-06-06 0:00,
TE 6094,90605,27.6kV,75,21,8,2.29242E-05,0,0.000802107,30,35,2021-06-06 0:00,
TE 2498,90600,27.6kV,50,46,10,2.29241E-05,0,0.000802103,25,35,2021-06-13 0:00,
T 11289,91350,27.6kV,25,9,7,2.29186E-05,0,0.000801911,20.25,35,2021-07-26 0:00,
TE 514,90601,27.6kV,50,11,9,2.29183E-05,0,0.0008019,28,35,2021-08-29 0:00,
T 7838,91363,8.32kV,50,122,8,2.29119E-05,0,0.000801675,40,35,2021-08-09 0:00,
T 11146,91360,27.6kV,50,10,15,2.29046E-05,0,0.000801419,42,35,2021-07-06 0:00,
TE 7372,90601,27.6kV,50,17,11,2.29042E-05,0,0.000801406,26,35,2021-08-28 0:00,
TE 2903,90604,27.6kV,75,10,13,2.29037E-05,0,0.000801389,28.5,35,2021-08-22 0:00,
TE 9225,90601,27.6kV,50,4,12,2.28959E-05,0,0.000801118,34.6,35,2022-04-01 0:00,
TE 281,90601,27.6kV,50,10,11,2.28926E-05,0,0.000801001,25,35,2021-08-21 0:00,
TE 9038,90601,27.6kV,50,5,12,2.28912E-05,0,0.000800953,28,35,2021-07-25 0:00,
T 9963,91360,27.6kV,50,24,24,2.28904E-05,0,0.000800924,43,35,2021-06-28 0:00,
TE 4394,90601,27.6kV,50,6,11,2.28878E-05,0,0.000800834,22.5,35,2021-06-09 0:00,
TE 2500,90601,27.6kV,50,10,9,2.28867E-05,0,0.000800794,24.5,35,2021-08-22 0:00,
TE 9333,90608,27.6kV,100,3,29,2.28639E-05,0,0.000799996,76,35,2021-08-29 0:00,
TE 5932,90600,27.6kV,50,24,12,2.28535E-05,0,0.000799633,23,35,2021-06-06 0:00,
TE 9000,90601,27.6kV,50,5,11,2.28476E-05,0,0.000799427,26.8,35,2022-03-28 0:00,
T 11064,91370,27.6kV,100,11,48,2.28465E-05,0,0.000799389,79,35,2021-08-25 0:00,
TE 8821,90601,27.6kV,50,5,13,2.28461E-05,0,0.000799373,27.5,35,2021-08-29 0:00,
TE 9270,90601,27.6kV,50,4,9,2.28441E-05,0,0.000799304,26.5,35,2021-07-04 0:00,
TE 1655,90604,27.6kV,75,9,12,2.28436E-05,0,0.000799285,46.77,35,2022-03-13 0:00,
TE 5694,90728,27.6kV,500,27,11,2.28395E-05,0,0.000799142,280,35,2021-07-05 0:00,
TE 2963,90601,27.6kV,50,10,10,2.28384E-05,0,0.000799105,24,35,2021-08-24 0:00,
TE 3966,90605,27.6kV,75,34,13,2.28235E-05,0,0.000798583,30.75,35,2021-06-27 0:00,
TE 1074,90601,27.6kV,50,10,7,2.28235E-05,0,0.000798582,33,35,2021-08-21 0:00,
T 3134,91080,4.16kV,50,13,19,2.2822E-05,0,0.000798531,39,35,2021-07-06 0:00,
TE 3823,90605,27.6kV,75,12,11,2.28172E-05,0,0.000798363,47.1675,35,2022-03-12 0:00,
TE 9232,90601,27.6kV,50,4,13,2.28172E-05,0,0.000798362,37,35,2022-01-20 0:00,
TE 4889,90605,27.6kV,75,32,12,2.28133E-05,0,0.000798227,26.25,35,2021-07-06 0:00,
TE 2302,90601,27.6kV,50,4,12,2.28117E-05,0,0.000798169,28,35,2021-06-06 0:00,
TE 293,90601,27.6kV,50,9,8,2.28064E-05,0,0.000797986,26,35,2021-07-04 0:00,
T 10378,91365,27.6kV,75,21,33,2.28031E-05,0,0.000797868,59.28,35,2022-02-13 0:00,
TE 1778,90601,27.6kV,50,20,11,2.27919E-05,0,0.000797478,22.5,35,2021-08-24 0:00,
TE 5336,90605,27.6kV,75,43,8,2.27876E-05,0,0.000797326,30,35,2021-07-25 0:00,
TE 5167,90605,27.6kV,75,32,14,2.27821E-05,0,0.000797134,27.75,35,2021-08-09 0:00,
TE 9201,90601,27.6kV,50,4,12,2.27741E-05,0,0.000796854,29.19,35,2022-01-09 0:00,
TE 2964,90601,27.6kV,50,44,11,2.27515E-05,0,0.000796065,26.5,35,2021-08-09 0:00,
TE 9202,90601,27.6kV,50,4,13,2.27431E-05,0,0.000795771,34.5,35,2022-02-19 0:00,
TE 5794,90601,27.6kV,50,9,13,2.27427E-05,0,0.000795756,25.5,35,2021-08-29 0:00,
TE 5519,90481,27.6kV,500,7,1,2.27328E-05,0,0.000795411,255,35,2021-06-28 0:00,
TE 3356,90600,27.6kV,50,43,14,2.27302E-05,0,0.000795317,26,35,2021-07-04 0:00,
TE 760,90601,27.6kV,50,9,9,2.27289E-05,0,0.000795273,25,35,2021-08-22 0:00,
TE 9209,90601,27.6kV,50,4,9,2.27277E-05,0,0.000795232,23.5,35,2021-07-06 0:00,
TE 5470,90600,27.6kV,50,28,13,2.27224E-05,0,0.000795047,25.5,35,2021-08-28 0:00,
